Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"assert currentUrl.contains(""overview"") : ""Seharusnya kehalaman overview!""",Chrome 147.0.7727.138,,,13-05-2026 16:25:20,13-05-2026 16:25:20,0.002s,PASSED
"takeScreenshot(screenshotPath + ""TC-01-Login Valid.png"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:20,13-05-2026 16:25:20,0.341s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,13-05-2026 16:25:20,13-05-2026 16:25:20,0.319s,PASSED
"println(""TC-1-Login_Valid Pass - Login Valid berhasil!"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:20,13-05-2026 16:25:20,0.002s,PASSED
,,,,,,,
Test Cases/Web/TC-Create New Account,Chrome 147.0.7727.138,,,13-05-2026 16:25:20,13-05-2026 16:25:31,11.197s,PASSED
"common.WebHelper.login(""Haryadi01"", ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:21,13-05-2026 16:25:26,5.890s,PASSED
"click(findTestObject(""Web/Home/link_createAccount""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:26,13-05-2026 16:25:28,1.109s,PASSED
"selectOptionByValue(findTestObject(""Web/OpenAccount/drp_typeAccount""), ""1"", false)",Chrome 147.0.7727.138,,,13-05-2026 16:25:28,13-05-2026 16:25:29,1.008s,PASSED
driver = getWebDriver(),Chrome 147.0.7727.138,,,13-05-2026 16:25:29,13-05-2026 16:25:29,0.009s,PASSED
selectElement = new org.openqa.selenium.support.ui.Select(driver.findElement(org.openqa.selenium.By.cssSelector(#fromAccountId))),Chrome 147.0.7727.138,,,13-05-2026 16:25:29,13-05-2026 16:25:29,0.321s,PASSED
options = selectElement.getOptions(),Chrome 147.0.7727.138,,,13-05-2026 16:25:29,13-05-2026 16:25:29,0.267s,PASSED
options.each({ java.lang.Object option -> ... }),Chrome 147.0.7727.138,,,13-05-2026 16:25:29,13-05-2026 16:25:29,0.066s,PASSED
"firstValue = get(0).getAttribute(""value"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:29,13-05-2026 16:25:29,0.018s,PASSED
